64 MADESCROWS FOUND
RELIABILITY INDEX = 59.375 %

BLOCK 635874 : RWCWG2HdWY15AzbD25u7jXt96Do6vMF3BE
BLOCK 636441 : RQV7N3GdcggHPYDfdjvbM4iCq1oYysJA3P
BLOCK 636455 : RD9QDVjV2maQBY1VzB5ThSEU4mfPw13qyx
BLOCK 636484 : RR1qZJax4L7dLBXQ17cG7dHurs2Di3Bpa2
BLOCK 637472 : RJU2ezN2MsLcSvZcS8BmjZxJgW7QkUJApe
BLOCK 638431 : RYS1b1MozXFeqATHxg413pkyVYKCUsfQsb
BLOCK 638432 : RAAuecw5JMwxMRDkUuSRLWph1vvbdUxYQh
BLOCK 638432 : RM4npASL4WqaJQjkYCbj4Mn8Wgea8XwXcv
BLOCK 638432 : RRm9GdC87awK8rW8nHnpr9NVgm8rZNkRnw
BLOCK 638451 : R9skVbHWhRtZ1UoDVnYRZHEGf27zNCvkVc
BLOCK 638903 : RMtehtgrbWbuGfQtbfVuUPCpYz3B9ySnTt
BLOCK 638993 : RVwDUATKQhLGSuE53dH8WZaaLCGqTxnh5A
BLOCK 638993 : RUJeT52dckGhbJHhZXqq4naLYKJWnDzp7A
BLOCK 639221 : RWWqABcBAsQCzH1piR4uMDDj6j69jpEJik
BLOCK 639221 : RQzzs5oF1E5Vgbpt4SbrTZQ4QEYZkPsHTC
BLOCK 639404 : R9J6cJdpAe3ibam9mSEfjBWcSTgtcvpcec
BLOCK 639418 : RF3DYPoUgWR5fSqbwiv4E4iB5QdshsM79f
BLOCK 640331 : RR1R3EZQHqHzmcuPjFJC5NxRmCQXUZJTdJ
BLOCK 641138 : RMGbx5Xw9D57ypLufumhGMWTe67Ki622TG
BLOCK 641180 : RJW5qM9Vob5qzh3m6tR2JMDoThw9TSK9TV
BLOCK 641661 : RRuWUskkkP5gCibeEJn4LcgiMD4jZ4eTvU
BLOCK 641661 : RJcsUiw7VTFEBy4HMooLuXtGxELkZwLYLf

